Serial number,Case no.,Slide number,Cells, ,Area,Mean,Min,Max,Perim.,Circ.,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,856,S1,C1,1,111.995,191.731,158,234,41.014,0.837,14.393,21472.823,423341,1488,890,110.136,11.052,1.214,0.824,0.946
2,856,S1,C2,2,103.22,188.561,157,228,41.577,0.75,13.198,19463.206,383721,1582,1197,143.326,10.85,1.173,0.853,0.951
3,856,S1,C3,3,87.293,157.07,130,201,36.593,0.819,13.18,13711.096,270317,1354,1163,160.017,8.799,1.387,0.721,0.94
4,856,S1,C4,4,96.981,165.792,136,204,39.653,0.775,14.5,16078.711,316995,1477,1044,43.112,9.639,1.418,0.705,0.946
5,856,S1,C5,5,104.944,151.012,123,197,38.393,0.895,13.746,15847.874,312444,1330,1139,55.008,10.191,1.327,0.754,0.955
6,856,S1,C6,6,121.733,153.208,123,197,42.595,0.843,14.526,18650.534,367699,1343,1146,82.875,11.036,1.284,0.779,0.97
7,856,S1,C7,7,117.574,160.577,126,228,42.498,0.818,13.52,18879.697,372217,1442,938,119.982,11.936,1.045,0.957,0.972
8,856,S2,C1,1,113.223,181.365,159,211,40.612,0.863,13.871,20534.762,397553,1092,1005,161.862,11.136,1.241,0.806,0.953
9,856,S2,C2,2,137.345,168.352,145,202,45.068,0.85,15.022,23122.366,447649,1222,1172,72.387,12.807,1.151,0.868,0.952
10,856,S2,C3,3,133.316,181.087,155,211,44.116,0.861,15.28,24141.787,467385,1220,1211,22.751,11.443,1.32,0.757,0.956
11,856,S2,C4,4,49.897,149.527,136,182,27.512,0.828,9.548,7460.899,144443,1166,1145,141.766,7.071,1.349,0.741,0.945
12,856,S2,C5,5,83.936,169.327,151,206,35.816,0.822,12.582,14212.603,275156,1023,1169,159.928,8.991,1.457,0.686,0.947
13,856,S2,C6,6,76.653,162.735,142,195,34.85,0.793,12.796,12474.122,241499,1112,1191,56.592,8.771,1.405,0.712,0.941
14,856,S3,C1,1,110.95,168.224,149,189,42.169,0.784,15.207,18664.514,361345,2025,545,170.538,11.22,1.327,0.754,0.92
