Serial number,Case no.,Slide number,Cells,Split,Area,Mean,Perim.,Circ.,Feret,MinFeret,AR,Round,Solidity,Nuclear_Size_Index,Irregularity_Index,Pleomorphism_Index,Feret_Ratio,NC_Compactness,Cluster,Grade,Grade_Label
1,856,S1,C1,Validation,111.995,191.731,41.014,0.837,14.393,11.052,1.214,0.824,0.946,1611.9440350000002,0.16300000000000003,0.21366400000000005,0.7678732717293127,1.1952417536788,2,1,Well-differentiated
2,856,S1,C2,Validation,103.22,188.561,41.577,0.75,13.198,10.85,1.173,0.853,0.951,1362.29756,0.25,0.17243100000000003,0.8220942567055614,1.3327005600221595,2,1,Well-differentiated
3,856,S1,C3,Train,87.293,157.07,36.593,0.819,13.18,8.799,1.387,0.721,0.94,1150.5217400000001,0.18100000000000005,0.386973,0.6676024279210926,1.2206938263888931,2,1,Well-differentiated
4,856,S1,C4,Train,96.981,165.792,39.653,0.775,14.5,9.639,1.418,0.705,0.946,1406.2244999999998,0.22499999999999998,0.41831,0.6647586206896551,1.2901956641731076,2,1,Well-differentiated
5,856,S1,C5,Train,104.944,151.012,38.393,0.895,13.746,10.191,1.327,0.754,0.955,1442.560224,0.10499999999999998,0.326442,0.7413793103448276,1.1177292603044062,2,1,Well-differentiated
6,856,S1,C6,Train,121.733,153.208,42.595,0.843,14.526,11.036,1.284,0.779,0.97,1768.293558,0.15700000000000003,0.28376399999999996,0.7597411537931984,1.186039235452032,2,1,Well-differentiated
7,856,S1,C7,Train,117.574,160.577,42.498,0.818,13.52,11.936,1.045,0.957,0.972,1589.6004799999998,0.18200000000000005,0.04493500000000004,0.8828402366863906,1.2224069958325399,2,1,Well-differentiated
8,856,S2,C1,Train,113.223,181.365,40.612,0.863,13.871,11.136,1.241,0.806,0.953,1570.516233,0.137,0.24075399999999997,0.8028260399394419,1.1592156429780927,2,1,Well-differentiated
9,856,S2,C2,Train,137.345,168.352,45.068,0.85,15.022,12.807,1.151,0.868,0.952,2063.19659,0.15000000000000002,0.151932,0.8525495939289043,1.1768303321754243,2,1,Well-differentiated
10,856,S2,C3,Train,133.316,181.087,44.116,0.861,15.28,11.443,1.32,0.757,0.956,2037.06848,0.139,0.32076,0.7488874345549739,1.1617163921581268,2,1,Well-differentiated
11,856,S2,C4,Train,49.897,149.527,27.512,0.828,9.548,7.071,1.349,0.741,0.945,476.416556,0.17200000000000004,0.349391,0.7405739421868454,1.2071466309998429,2,1,Well-differentiated
12,856,S2,C5,Validation,83.936,169.327,35.816,0.822,12.582,8.991,1.457,0.686,0.947,1056.0827520000003,0.17800000000000005,0.45749799999999996,0.7145922746781115,1.2161748827128305,2,1,Well-differentiated
13,856,S2,C6,Train,76.653,162.735,34.85,0.793,12.796,8.771,1.405,0.712,0.941,980.851788,0.20699999999999996,0.40464000000000006,0.6854485776805253,1.2608590620805868,2,1,Well-differentiated
14,856,S3,C1,Train,110.95,168.224,42.169,0.784,15.207,11.22,1.327,0.754,0.92,1687.21665,0.21599999999999997,0.326442,0.7378181100808838,1.2754088725126882,2,1,Well-differentiated
